cube,observationCount
https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/2,543537
https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/1,543537
https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/4,132672
https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/2/,132672
https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/1/,132672
https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/5,132672
https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/1,132672
https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/3,132672
https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/3/,132672
https://energy.ld.admin.ch/sfoe/bfe_ogd56_energieperspektiven2050/2,132672
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_iea/6,12761
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_iea/5,10946
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_iea/1/,9279
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_iea/3/,9279
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_iea/4,9279
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_iea/2/,9279
https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz/5,8987
https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz/4,8987
https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz/3,8987
https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz/6,8987
https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz/1,8987
https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz/2,8987
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_ch/6,3147
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_ch/5,2714
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_ch/4,2311
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_ch/3/,2311
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_ch/1/,2311
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_ch/2/,2311
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_auszahlungen/11,1248
https://energy.ld.admin.ch/sfoe/bfe_ogd17_fuellungsgrad_speicherseen/5,1150
https://energy.ld.admin.ch/sfoe/bfe_ogd17_fuellungsgrad_speicherseen/1,1150
https://energy.ld.admin.ch/sfoe/bfe_ogd17_fuellungsgrad_speicherseen/4,1150
https://energy.ld.admin.ch/sfoe/bfe_ogd17_fuellungsgrad_speicherseen/3,1150
https://energy.ld.admin.ch/sfoe/bfe_ogd17_fuellungsgrad_speicherseen/2,1150
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_auszahlungen/10,1092
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_auszahlungen/9,1092
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_auszahlungen/2,1027
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_auszahlungen/1,1027
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_auszahlungen/6,936
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_auszahlungen/7,936
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_auszahlungen/8,936
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_auszahlungen/3,780
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_auszahlungen/5,780
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_auszahlungen/4,780
