cube,baseCube,version,rank
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_ch/4,https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_ch,4,3
https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_iea/4,https://energy.ld.admin.ch/sfoe/bfe_ogd10_energieforschungsstatistik_iea,4,3
https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz/4,https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz,4,3
https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz/3,https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz,3,4
https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz/2,https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz,2,5
https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz/1,https://energy.ld.admin.ch/sfoe/bfe_ogd115_gest_bilanz,1,6
https://energy.ld.admin.ch/sfoe/bfe_ogd17_fuellungsgrad_speicherseen/3,https://energy.ld.admin.ch/sfoe/bfe_ogd17_fuellungsgrad_speicherseen,3,3
https://energy.ld.admin.ch/sfoe/bfe_ogd17_fuellungsgrad_speicherseen/2,https://energy.ld.admin.ch/sfoe/bfe_ogd17_fuellungsgrad_speicherseen,2,4
https://energy.ld.admin.ch/sfoe/bfe_ogd17_fuellungsgrad_speicherseen/1,https://energy.ld.admin.ch/sfoe/bfe_ogd17_fuellungsgrad_speicherseen,1,5
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/18,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,18,3
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/17,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,17,4
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/16,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,16,5
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,15,6
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/14,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,14,7
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/13,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,13,8
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/12,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,12,9
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/11,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,11,10
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/10,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,10,11
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/9,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,9,12
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/8,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,8,13
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/7,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,7,14
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/6,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,6,15
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/5,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,5,16
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/4,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,4,17
https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/3,https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche,3,18
